level,cluster_id,cluster_name,post_count,meta_posts,proper_posts,avg_base_score,stddev_base_score,avg_score,stddev_score
5,0,EA Career & Strategy,1559,1157,402,48.67350865939705,58.215078707332516,0.08850254031131044,0.2445956633253163
5,1,EA Community & Culture,1488,196,1292,27.866263440860216,36.944808674277525,0.06573641421134872,0.23046162604921608
5,2,Animal Welfare & EA,1426,631,795,30.663394109396915,43.658968887636206,0.06180954298581197,0.16626685031235083
5,3,AI Alignment & Risk,606,72,534,50.26567656765677,49.45558531782105,0.09912550673125044,0.253716509169834
5,4,EA Governance & Criticism,163,70,93,30.104294478527606,45.1812008181449,0.21027848680333686,0.25700419970990573
12,11,Technical AI Safety & Forecasting,704,81,623,26.257102272727273,32.97540927155862,0.0698989163606298,0.24802126243055403
12,9,EA Community & Meta-Discourse,679,641,38,49.95581737849779,60.25157037233455,0.10353059523902829,0.31602266003743973
12,4,Effective Giving & Global Health,590,289,301,58.41864406779661,66.01594182777295,0.09123857594805501,0.19057871711302704
12,10,Miscellaneous & Niche Topics,579,248,331,25.015544041450777,43.02278426110065,0.055264604956093394,0.1536794389530241
12,1,EA Philosophy & Critique,487,370,117,31.609856262833677,41.583271424035125,0.06091374829562105,0.12776815006496592
12,3,AI Safety Ecosystem & Funding,413,99,314,30.309927360774818,35.73963049076011,0.06960905856578599,0.2660136581646175
12,0,AI Governance & Policy,404,40,364,30.52227722772277,44.40069074600036,0.05094762119155672,0.12267905490861171
12,8,EA Careers & Professional Development,366,211,155,31.3551912568306,34.17288138703097,0.06288604077035714,0.16835912829182587
12,7,Animal Advocacy & Fundraising,325,47,278,45.252307692307696,47.13001817828294,0.09508981763582247,0.30873607431109623
12,5,Animal Welfare & Suffering,273,23,250,57.67399267399267,50.05107631460033,0.1175739910204523,0.2342505283886598
12,2,Non-AI Catastrophic Risks,259,7,252,30.915057915057915,39.200742126049946,0.052710717889609744,0.12651247793147144
12,6,EA Community & Personal Impact,163,70,93,30.104294478527606,45.1812008181449,0.21027848680333686,0.25700419970990573
30,24,FTX Aftermath and Criticism,279,229,50,42.87096774193548,64.67270545102525,0.09577907255757266,0.2637446058877084
30,9,AI Safety & Alignment,250,33,217,23.06,26.852572364119627,0.0563652776684612,0.12513124205337472
30,18,Animal Welfare Advocacy,239,42,197,38.55230125523013,41.548346660585565,0.08280606636953848,0.2778544701327897
30,21,Community News and Updates,219,102,117,14.799086757990867,29.304879499238954,0.043411725244833554,0.0877971940148344
30,20,AI Risk and Strategy,217,87,130,37.963133640552996,48.19000324089071,0.0907846382483282,0.3618947232559591
30,8,Farmed Animal Advocacy,215,12,203,66.90232558139535,53.97268904539311,0.12589099123413394,0.28364520568194074
30,1,EA Community & Identity,213,210,3,55.23004694835681,65.70085607622421,0.13123088724421503,0.4276243061402245
30,23,EA Funding and Grantmaking,204,147,57,75.5,67.80975270251584,0.10074432341464083,0.19004198868984473
30,3,Global Health & Development,203,12,191,48.669950738916256,66.14957872760148,0.07097788723736194,0.11222408668929587
30,13,AI Development & Timelines,202,15,187,40.76237623762376,52.63677251875417,0.08636394647148318,0.3135564753563671
30,10,Politics & Social Science,199,42,157,23.311557788944725,34.523062370534646,0.05039500707646963,0.17758130660664032
30,22,Community Culture and Epistemics,196,160,36,43.36224489795919,57.30911596221396,0.09469930991252447,0.28622747613894817
30,2,AI Governance & Policy,195,9,186,23.682051282051283,29.728868192683944,0.04700228971166488,0.12819977634874824
30,26,AI Safety Field-Building,194,29,165,24.283505154639176,21.956788370020785,0.0421302912615182,0.06350329785674771
30,17,Longtermism and Existential Risk,166,47,119,33.83132530120482,38.76731496696777,0.051409740253430175,0.09206752424598624
30,5,EA Career Advice,164,121,43,35.47560975609756,46.92840797519173,0.07165514195846144,0.16582435852473784
30,11,Miscellaneous EA Topics,163,70,93,30.104294478527606,45.1812008181449,0.21027848680333686,0.25700419970990573
30,0,EA Conferences & Events,160,149,11,32.3375,37.39267871366864,0.08289227444547578,0.2442461357457363
30,15,Personal Giving and Philanthropy,159,92,67,47.855345911949684,60.97320811074563,0.06983310016422714,0.11079027996102883
30,4,EA Meta & Infrastructure,153,133,20,53.96078431372549,50.93131111617277,0.07264483358872312,0.09662338910351018
30,14,Charity Entrepreneurship & Incubation,150,67,83,38.06,39.18485360031159,0.07767207347710306,0.13864761600126335
30,29,AI Governance and Policy,145,17,128,35.37931034482759,48.25180897091338,0.05822565981973733,0.11999215006279533
30,25,Technical AI Alignment Research,144,5,139,19.229166666666668,25.270762771411373,0.0675405102277485,0.31920465233758744
30,16,Biosecurity and Pandemic Prevention,134,0,134,27.813432835820894,35.384922644158046,0.05692470938909048,0.1657131214361747
30,28,EA Careers and Hiring,130,45,85,27.23846153846154,22.622210341068875,0.060881385071059835,0.20979045614808614
30,19,Moral Philosophy and Ethics,128,110,18,20.125,25.404445019949826,0.04254221056044116,0.06647874128910886
30,7,AI & Digital Sentience,126,10,116,24.642857142857142,32.76106574230192,0.083193997064391,0.20944060602196074
30,6,Sentience & Moral Weight,118,15,103,49.347457627118644,46.1251321298261,0.11941731683081173,0.28857219267066947
30,27,Prioritization and Decision Theory,99,83,16,43.27272727272727,41.79293421918771,0.07211130395686875,0.11702440020026933
30,12,Forecasting & Prediction Markets,78,33,45,23.67948717948718,30.570121050337715,0.03270034373511011,0.058802822572219506
60,1,General EA Discussion,163,70,93,30.104294478527606,45.1812008181449,0.21027848680333686,0.25700419970990573
60,58,EA Philanthropy and Funding,137,104,33,71.00729927007299,66.44087335527168,0.08482481283985459,0.1038955780449471
60,44,EA Careers and Job Reflections,132,65,67,14.954545454545455,25.001943019566365,0.05452563745149581,0.10146354927164458
60,54,EA Community and Metacommentary,132,127,5,57.70454545454545,62.66861086972831,0.1285240577840754,0.3903435113409473
60,24,Technical AI Alignment Concepts,125,12,113,20.744,21.257599779539948,0.05011058600991964,0.12071830081632749
60,8,AI Timelines and Strategy,124,20,104,42.274193548387096,50.12899437032545,0.07566279977946842,0.11057743713644028
60,32,Animal Welfare Interventions,121,13,108,65.58677685950413,51.99305553332541,0.13468356443615245,0.34723058858416683
60,3,EA Career Advice,119,89,30,43.60504201680672,53.419227555887694,0.0886307603712859,0.1911859138420658
60,41,AI Governance and Geopolitics,119,20,99,37.78991596638655,53.183703689461794,0.07979343842398062,0.18335100743709215
60,50,Biosecurity and Pandemic Preparedness,118,0,118,25.66949152542373,25.95164967987132,0.06043338213585538,0.17541182385924975
60,49,EA Philosophy and Critiques,116,112,4,43.44827586206897,57.53779020217343,0.1132962394702441,0.29540919580178737
60,38,Global Health and Development,114,6,108,54.19298245614035,65.73221044618295,0.07187225197425537,0.13318806861270924
60,30,EA Job Postings,113,38,75,27.106194690265486,22.163903582119094,0.05661419589088949,0.21908314015829838
60,55,Personal Reflections and Wellbeing,113,93,20,47.902654867256636,56.47185844701923,0.11535069690934852,0.36608772801620354
60,22,Moral and Ethical Philosophy,111,94,17,21.765765765765767,24.88919259983956,0.045602741490248254,0.06973660922078634
60,39,AI Safety Field Building,110,21,89,16.618181818181817,19.576236210947762,0.03754226695957848,0.0851029294485952
60,48,AI Policy and Regulation,109,0,109,19.65137614678899,20.179920413705794,0.029018709675297825,0.0368967611425722
60,18,Adjacent Intellectual Topics,106,70,36,12.59433962264151,32.57600001809301,0.02659184599343582,0.053503019030691185
60,6,Animal Welfare Organizations/Funding,105,23,82,42.4,45.59786600944593,0.10226776609474439,0.3656675782897341
60,42,Personal Giving and Donations,103,60,43,35.601941747572816,53.14802484770492,0.0717410081093317,0.1333444134032577
60,7,Philosophy of Animal Suffering,98,15,83,49.326530612244895,51.71567301371935,0.1304364705206446,0.3151205964637747
60,12,Development Economics and Progress,98,16,82,22.43877551020408,32.64272904200734,0.06133931152087788,0.24485050301313593
60,28,Long-form AI Futures/Essays,98,9,89,10.561224489795919,20.630807874068182,0.027930505438327636,0.044516869239576075
60,52,Technical AI Model Research,98,1,97,18.744897959183675,28.007845448918616,0.07855511151197157,0.3856740234385646
60,16,EA Meta-Strategy/Prioritization,97,45,52,31.536082474226806,46.6214949209031,0.04071154277267645,0.0493795080729774
60,0,Longtermist Org Announcements,96,30,66,54.010416666666664,45.353928580877074,0.1142948067257142,0.2756145012620612
60,53,EA Professional Experiences,95,87,8,48.48421052631579,74.01320514120677,0.07574892714129466,0.1184552222208644
60,59,Charity Entrepreneurship,94,45,49,43.223404255319146,44.096461773872576,0.0953838274952896,0.16269627927276345
60,36,Fellowships and Training Programs,93,7,86,23.311827956989248,17.892783640475344,0.0349942563722531,0.026191665050709648
60,4,EA Conferences and Events,92,91,1,43.42391304347826,40.94226266868889,0.11131085744557861,0.31305182991585123
60,34,Global Aid Policy & Funding,88,8,80,52.79545454545455,70.17648672772232,0.08350147167220712,0.09225635770359512
60,47,Longtermism & X-Risk Philosophy,88,49,39,34.79545454545455,37.8445577833062,0.049310010273157706,0.06398361889202166
60,25,Global Catastrophic Risks (GCRs),87,9,78,30.655172413793103,39.67127353470363,0.0459163400274969,0.06392233978743898
60,5,CEA Operations & Strategy,86,78,8,48.372093023255815,52.04659598105119,0.07370189633653608,0.11302136694004705
60,20,EA Career & Personal Development,86,41,45,22.372093023255815,22.50649397089278,0.04671461849749565,0.08185416174885662
60,26,AI Regulation & OpenAI Politics,84,17,67,46.05952380952381,57.22821597241145,0.06492392509105793,0.11610927094028971
60,17,EA Events & Local Groups,81,67,14,15.765432098765432,20.679259902700984,0.039697076684082455,0.06631112564269243
60,2,AI for Epistemics & Research,78,18,60,17.94871794871795,17.46974931680879,0.03917523620960613,0.043631466003440124
60,51,EA and US Politics,78,21,57,33.205128205128204,45.01207889097377,0.06944340321187599,0.281464258625291
60,23,AI Safety Meta & Critique,77,26,51,29.337662337662337,27.456956931479414,0.11461554978847165,0.5150569902082902
60,57,Farmed Animal Advocacy Campaigns,76,1,75,50.0921052631579,49.4368762852398,0.08693020293599386,0.233777632721841
60,40,EA Decision-Making Frameworks,75,58,17,44.44,42.27523714511458,0.09359098453229914,0.17198336946077547
60,27,EA Group Organizing,73,73,0,37.93150684931507,26.24633771655014,0.10213769342086904,0.32417553873753335
60,21,Consciousness & Digital Sentience,70,6,64,29.257142857142856,37.40986683544814,0.1125731113682767,0.26837384701824585
60,13,EA Community Scandals & Critiques,67,65,2,80.98507462686567,100.96391382603,0.07906535476682458,0.12578389638096785
60,11,Animal Advocacy Strategy,66,16,50,34.25757575757576,40.951119306975876,0.07634684804714087,0.12248833768142574
60,46,AI & Animal/Digital Welfare,64,8,56,27.921875,33.582546812247955,0.05409976123701199,0.061058264057005616
60,14,Fundraising & Personal Donations,61,21,40,64.39344262295081,63.66560523247608,0.06377840453575624,0.068246454135474
60,43,Alternative Proteins & Cage-Free Campaigns,60,2,58,40.233333333333334,45.45527385138005,0.11181044255887779,0.23219449702586123
60,10,"80,000 Hours Content",59,14,45,38.152542372881356,45.68475696867574,0.05379189127835177,0.11345994795704088
60,9,Insect & Aquatic Animal Welfare,56,0,56,67.17857142857143,45.10154488096112,0.08822006387137142,0.1021094197875478
60,31,EA Forum Meta,53,51,2,50.60377358490566,42.826276810927794,0.13831618229665285,0.5039393526472805
60,29,Giving What We Can (GWWC),49,47,2,94.55102040816327,79.03165537315037,0.12657556382521074,0.29917817141511654
60,33,AI & Economic Growth,47,0,47,35.702127659574465,34.57689282040513,0.1575338652733951,0.6303309027629922
60,35,Forecasting & Metaculus,40,16,24,20.325,19.249225758655655,0.02267683960380964,0.015122061121782968
60,37,Biosecurity & Pandemic Prevention,38,1,37,34.94736842105263,52.50068075153037,0.04353466970649989,0.04909041085433836
60,19,Technical AI Forecasting,34,17,17,29.88235294117647,41.16394767554849,0.03305903624962358,0.030256895835109453
60,45,AI Safety Policy & Regulation,33,1,32,13.333333333333334,19.122412679017955,0.02768959638408639,0.024087363113856765
60,15,AI Lab Safety Commitments,26,1,25,36.57692307692308,32.615546080877536,0.08407655616219227,0.19226283561370341
60,56,Japanese Career Guide Translations,13,11,2,2.5384615384615383,1.941450686788302,0.0018543096689077525,0.0012555466345858482
